,ID,s,L,traj_times,traj_ssize,traj_emis,traj_simu
0,0,-1.0,-475.989012685361,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
1,0,-0.99,-473.8042069954972,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
2,0,-0.98,-471.58233839134414,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
3,0,-0.97,-469.3206534683377,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
4,0,-0.96,-467.0162500029828,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
5,0,-0.95,-464.66606319103994,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
6,0,-0.94,-462.2668513150799,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
7,0,-0.9299999999999999,-459.8151806712017,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
8,0,-0.92,-457.3074095933989,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
9,0,-0.91,-454.7396714196939,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
10,0,-0.9,-452.10785624701225,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[17 20 25 23 25 23 30 23 27 26],[0.5  0.69 0.85 0.7  0.77 0.76 0.84 0.82 0.82 0.87]
