,ID,s,L,traj_times,traj_ssize,traj_emis,traj_simu
0,0,-1.0,-3.4311584162434126,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
1,0,-0.99,-3.4365373342914736,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2,0,-0.98,-3.443285254280746,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
3,0,-0.97,-3.4515079450252832,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
4,0,-0.96,-3.461513511715292,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
5,0,-0.95,-3.4733852685181357,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
6,0,-0.94,-3.4884404152716346,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
7,0,-0.9299999999999999,-3.503697936298774,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
8,0,-0.92,-3.520487255294003,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
9,0,-0.91,-3.5392159101207303,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
10,0,-0.9,-3.5591650152646697,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
11,0,-0.89,-3.5797325694530255,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
12,0,-0.88,-3.612567981404038,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[27  0  0  0  0  0  0  0  0  0],[0.9 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
