,ID,s,L,traj_times,traj_ssize,traj_emis,traj_simu
0,0,-1.0,-3.433253581453825,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
1,0,-0.99,-3.4339718073588297,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2,0,-0.98,-3.434761449681924,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
3,0,-0.97,-3.4356256016703197,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
4,0,-0.96,-3.436567399106714,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
5,0,-0.95,-3.4375900232978114,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
6,0,-0.94,-3.4386967044282297,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
7,0,-0.9299999999999999,-3.439890725286713,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
8,0,-0.92,-3.4411754253792055,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
9,0,-0.91,-3.4425542054516063,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
10,0,-0.9,-3.4440305324536964,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
11,0,-0.89,-3.4456079449854,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
12,0,-0.88,-3.4472900592756988,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
13,0,-0.87,-3.4490805757542624,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
14,0,-0.86,-3.4509832862840653,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
15,0,-0.85,-3.453002082131476,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
16,0,-0.84,-3.455140962756053,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
17,0,-0.83,-3.4574040455066264,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
18,0,-0.8200000000000001,-3.4597955763113766,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
19,0,-0.81,-3.4623199414483445,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
20,0,-0.8,-3.46498168047658,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[3 0 0 0 0 0 0 0 0 0],[0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
