,ID,s,L,traj_times,traj_ssize,traj_emis,traj_simu
0,0,-1.0,-3.4318600252281395,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
1,0,-0.99,-3.434723497227837,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2,0,-0.98,-3.4379439013263213,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
3,0,-0.97,-3.4415390017127603,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
4,0,-0.96,-3.4455266044326724,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
5,0,-0.95,-3.449924525266073,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
6,0,-0.94,-3.4547505637167943,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
7,0,-0.9299999999999999,-3.460022484995623,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
8,0,-0.92,-3.4657580121364306,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
9,0,-0.91,-3.4719748306079445,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
10,0,-0.9,-3.478690607953937,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
11,0,-0.89,-3.485923031080129,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
12,0,-0.88,-3.4936898637665634,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
13,0,-0.87,-3.5020090267879134,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
14,0,-0.86,-3.510898702618951,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
15,0,-0.85,-3.5203774660512273,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
16,0,-0.84,-3.530464441110757,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
17,0,-0.83,-3.541179483414419,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
18,0,-0.8200000000000001,-3.5525433855249213,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
19,0,-0.81,-3.5645781009746673,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
20,0,-0.8,-3.5773069804782596,[ 0 10 20 30 40 50 60 70 80 90],[30 30 30 30 30 30 30 30 30 30],[15  0  0  0  0  0  0  0  0  0],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
